iz,n_ivols,n_gal,r,r_min,r_max,dd
271,300,21451252,12.282162017916326,11.285402696730158,13.188469928365798,11471532114
271,300,21451252,14.354147893647143,13.188469928365798,15.412453035619656,17892329896
271,300,21451252,16.775497626834376,15.412453035619656,18.011468340559496,28018287486
271,300,21451252,19.605257101127545,18.011468340559496,21.04875784751639,44035922460
271,300,21451252,22.91214498599345,21.04875784751639,24.598228114789016,69435539900
271,300,21451252,26.77666933493672,24.598228114789016,28.746248627616342,109764440224
271,300,21451252,31.29293163206368,28.746248627616342,33.59375343234238,173929327628
271,300,21451252,36.57066928461347,33.59375343234238,39.25869717097048,276147269484
271,300,21451252,42.738284755578775,39.25869717097048,45.87892527895176,439049568216
271,300,21451252,49.946171465413926,45.87892527895176,53.61552818691274,698982977160
271,300,21451252,58.36913792624183,53.61552818691274,62.65676114432542,1113940774452
271,300,21451252,68.21224681408042,62.65676114432542,73.22262504643817,1776247715930
271,300,21451252,79.71485313339643,73.22262504643817,85.57021973001949,2832261121656
271,300,21451252,93.15838920160856,85.57021973001949,100.0,4517753380590
271,600,42900001,0.5434457696402315,0.5,0.584315433076528,23960160
271,600,42900001,0.6350947346717759,0.584315433076528,0.682849050662821,33682048
271,600,42900001,0.742195239392649,0.682849050662821,0.7979984775278846,47302324
271,600,42900001,0.8673408167856592,0.7979984775278846,0.9325656519822317,66510284
271,600,42900001,1.0136037715462396,0.9325656519822317,1.089825005620585,93448410
271,600,42900001,1.184554896010091,1.089825005620585,1.2736031402736432,131413544
271,600,42900001,1.3843496850188426,1.2736031402736432,1.4883719409532399,185114548
271,600,42900001,1.6178617563777962,1.4883719409532399,1.73935739051409,261588320
271,600,42900001,1.890825446397631,1.73935739051409,2.0326667338262,371281528
271,600,42900001,2.2098711437079506,2.0326667338262,2.3754370857518157,530370720
271,600,42900001,2.582795757502772,2.3754370857518157,2.7760090990142356,763433406
271,600,42900001,3.018695432132849,2.7760090990142356,3.2441299178297704,1108864688
271,600,42900001,3.5281601105457034,3.2441299178297704,3.7911903557864473,1625233028
271,600,42900001,4.123589399525588,3.7911903557864473,4.430502069233829,2403925016
271,600,42900001,4.8194682364720896,4.430502069233829,5.177621470661636,3586602520
271,600,42900001,5.632740328524706,5.177621470661636,6.050728263871968,5394257822
271,600,42900001,6.5831964378406855,6.050728263871968,7.071067811865475,8174186406
271,600,42900001,7.69396261262895,7.071067811865475,8.263468101607344,12470949656
271,600,42900001,8.992117064986534,8.263468101607344,9.656943885009541,19143958288
271,600,42900001,10.509197044707005,9.656943885009541,11.285402696730158,29562834206
271,600,42900001,12.282168923782839,11.285402696730158,13.188469928365798,45882978130
271,600,42900001,14.35415061147289,13.188469928365798,15.412453035619656,71564582752
271,600,42900001,16.775500368844337,15.412453035619656,18.011468340559496,112071224048
271,600,42900001,19.605244344238145,18.011468340559496,21.04875784751639,176134465192
271,600,42900001,22.912154000215665,21.04875784751639,24.598228114789016,277723541830
271,600,42900001,26.77665836251632,24.598228114789016,28.746248627616342,439034169134
271,600,42900001,31.292908341433925,28.746248627616342,33.59375343234238,695663190614
271,600,42900001,36.57068848940003,33.59375343234238,39.25869717097048,1104476871690
271,600,42900001,42.73828179921408,39.25869717097048,45.87892527895176,1756034882874
271,600,42900001,49.94614819129538,45.87892527895176,53.61552818691274,2795586192466
271,600,42900001,58.36915513916833,53.61552818691274,62.65676114432542,4455099340730
271,600,42900001,68.21227781141994,62.65676114432542,73.22262504643817,7104220835104
271,600,42900001,79.71483528626847,73.22262504643817,85.57021973001949,11327780406594
271,600,42900001,93.15841519207082,85.57021973001949,100.0,18069174999986
271,1000,71489233,0.5434496187610732,0.5,0.584315433076528,66536844
271,1000,71489233,0.635096000413931,0.584315433076528,0.682849050662821,93525444
271,1000,71489233,0.742192026785824,0.682849050662821,0.7979984775278846,131421530
271,1000,71489233,0.8673431297265498,0.7979984775278846,0.9325656519822317,184674304
271,1000,71489233,1.0136090974559553,0.9325656519822317,1.089825005620585,259502178
271,1000,71489233,1.1845582631029152,1.089825005620585,1.2736031402736432,364980880
271,1000,71489233,1.3843451739123944,1.2736031402736432,1.4883719409532399,514128550
271,1000,71489233,1.6178653993867789,1.4883719409532399,1.73935739051409,726454682
